구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
남성,1966,3972,6359,9608,12333,14860,17430,20106,22414,24528,26806,29041
여성,6404,11997,19312,28783,35537,42244,49280,56128,62266,68632,75111,81514
