,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 통계표ID :,DT_1C51,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 통계표명 :,경제활동별 지역내총생산,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 수록기간 :, ( 년 : 1985 ~ 2009 ),,,,,,,,,,,,,,,,,,,,,,,,,,,
* 조회기간 :,   [년] 2000 ~ 2008         ,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 출처 :,통계청 경제통계국 지역소득통계팀,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 자료다운일자 :,2011/06/24 09:20:29,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 단위 :,백만원,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시도별,경제활동별,2000 ,,,2001 ,,,2002 ,,,2003 ,,,2004 ,,,2005 ,,,2006 ,,,2007 ,,,2008 ,,
,,당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100)
,숙박및음식점업,"14,380,335 ","15,856,210 ",-,"15,807,743 ","17,415,994 ",-,"17,726,377 ","18,235,163 ",-,"17,930,067 ","18,175,777 ",-,"17,898,763 ","18,394,779 ",-,"18,116,279 ","18,116,279 ",-,"19,309,426 ","18,678,098 ",-,"20,852,869 ","19,623,701 ",-,"22,056,741 ","19,985,506 ",-
,정보및통신업,"23,156,421 ","23,121,977 ",-,"27,916,267 ","26,605,983 ",-,"31,285,749 ","29,558,730 ",-,"32,796,023 ","31,323,033 ",-,"33,167,369 ","33,456,113 ",-,"35,185,561 ","35,185,561 ",-,"36,798,967 ","37,122,490 ",-,"38,405,057 ","38,900,839 ",-,"38,806,450 ","40,282,849 ",-
,금융및보험업,"31,694,896 ","38,855,297 ",-,"37,666,607 ","41,730,588 ",-,"48,941,818 ","51,370,357 ",-,"51,400,903 ","52,397,763 ",-,"49,431,571 ","51,821,391 ",-,"53,686,959 ","53,686,959 ",-,"55,613,261 ","55,862,785 ",-,"61,764,987 ","61,982,344 ",-,"65,485,703 ","65,147,713 ",-
,부동산업및임대업,"49,589,258 ","54,903,084 ",-,"51,760,047 ","56,578,817 ",-,"55,911,394 ","58,541,671 ",-,"59,346,474 ","60,214,608 ",-,"60,663,309 ","60,632,853 ",-,"63,063,274 ","63,063,274 ",-,"66,338,500 ","65,714,107 ",-,"70,072,225 ","66,392,630 ",-,"72,553,578 ","67,443,582 ",-
,사업서비스업,"22,943,447 ","29,344,146 ",-,"24,921,795 ","30,462,425 ",-,"27,959,618 ","32,860,085 ",-,"32,588,229 ","35,382,118 ",-,"34,813,702 ","36,708,116 ",-,"37,398,714 ","37,398,714 ",-,"40,608,358 ","38,875,256 ",-,"44,617,912 ","41,013,278 ",-,"49,120,477 ","42,421,920 ",-
,"공공행정,국방및사회보장행정","31,637,389 ","43,051,599 ",-,"34,829,097 ","43,794,584 ",-,"38,576,061 ","44,772,583 ",-,"42,152,231 ","46,286,827 ",-,"46,324,439 ","48,004,293 ",-,"50,511,053 ","50,511,053 ",-,"54,035,158 ","52,458,994 ",-,"57,550,533 ","53,981,297 ",-,"60,949,228 ","54,931,831 ",-
,교육서비스업,"27,268,318 ","36,437,698 ",-,"30,844,935 ","38,583,860 ",-,"34,973,103 ","41,334,324 ",-,"39,715,867 ","44,240,385 ",-,"43,914,622 ","46,239,136 ",-,"46,988,075 ","46,988,075 ",-,"51,037,600 ","49,035,198 ",-,"55,682,459 ","50,786,511 ",-,"59,953,603 ","52,093,883 ",-
,보건업및사회복지서비스업,"12,344,784 ","19,199,248 ",-,"16,439,418 ","18,272,214 ",-,"17,196,561 ","19,387,384 ",-,"18,877,236 ","20,511,569 ",-,"20,760,208 ","21,682,496 ",-,"23,294,112 ","23,294,112 ",-,"26,158,410 ","25,087,485 ",-,"29,529,843 ","26,933,783 ",-,"32,031,170 ","28,336,586 ",-
,"예술,스포츠및여가관련서비스업","5,124,396 ","6,362,058 ",-,"6,285,914 ","7,717,062 ",-,"7,376,377 ","9,044,143 ",-,"7,982,740 ","8,774,785 ",-,"8,543,519 ","8,854,356 ",-,"9,207,222 ","9,207,222 ",-,"9,926,420 ","9,829,513 ",-,"11,164,593 ","10,639,239 ",-,"11,804,582 ","11,083,551 ",-
,기타서비스업,"12,590,568 ","15,075,572 ",-,"13,616,479 ","15,933,583 ",-,"14,244,766 ","16,236,971 ",-,"15,314,449 ","16,836,160 ",-,"16,055,566 ","16,270,473 ",-,"17,448,089 ","17,448,089 ",-,"18,662,504 ","18,304,454 ",-,"20,138,514 ","19,290,778 ",-,"21,378,420 ","19,734,515 ",-
