,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 통계표ID :,DT_1C51,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 통계표명 :,경제활동별 지역내총생산,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 수록기간 :, ( 년 : 1985 ~ 2009 ),,,,,,,,,,,,,,,,,,,,,,,,,,,
* 조회기간 :,   [년] 2000 ~ 2008         ,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 출처 :,통계청 경제통계국 지역소득통계팀,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 자료다운일자 :,2011/06/24 09:20:29,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 단위 :,백만원,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시도별,경제활동별,2000 ,,,2001 ,,,2002 ,,,2003 ,,,2004 ,,,2005 ,,,2006 ,,,2007 ,,,2008 ,,
,,당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100)
,　가공조립형,"2,898,568 ","2,791,263 ",-,"3,098,491 ","3,278,917 ",-,"3,297,251 ","3,830,013 ",-,"3,128,941 ","3,899,947 ",-,"3,423,285 ","3,796,073 ",-,"4,100,612 ","4,100,612 ",-,"4,508,015 ","4,534,722 ",-,"4,894,724 ","5,025,843 ",-,"5,708,080 ","5,260,409 ",-
,　생활관련형,"1,242,145 ","1,351,229 ",-,"1,345,454 ","1,406,453 ",-,"1,189,283 ","1,505,718 ",-,"1,015,460 ","1,240,418 ",-,"1,133,345 ","1,095,553 ",-,"1,073,634 ","1,073,634 ",-,"1,054,047 ","1,152,425 ",-,"1,084,911 ","1,489,970 ",-,"1,256,227 ","1,566,567 ",-
,"전기,가스,증기및수도사업","778,845 ","793,972 ",-,"1,259,085 ","1,114,906 ",-,"1,103,347 ","959,111 ",-,"1,074,690 ","883,462 ",-,"1,205,440 ","1,155,295 ",-,"1,213,980 ","1,213,980 ",-,"1,316,090 ","1,326,172 ",-,"1,284,730 ","1,305,705 ",-,"964,963 ","1,354,557 ",-
,건설업,"2,221,066 ","2,812,496 ",-,"2,645,263 ","3,248,833 ",-,"2,834,905 ","3,265,207 ",-,"3,339,434 ","3,520,790 ",-,"3,761,012 ","3,833,035 ",-,"3,842,884 ","3,842,884 ",-,"3,594,093 ","3,540,555 ",-,"3,585,357 ","3,428,473 ",-,"3,572,641 ","3,347,883 ",-
,도매및소매업,"4,374,971 ","5,017,050 ",-,"4,488,252 ","5,076,487 ",-,"4,608,754 ","5,222,850 ",-,"4,970,724 ","5,347,473 ",-,"4,992,687 ","5,046,025 ",-,"5,095,339 ","5,095,339 ",-,"5,433,198 ","5,416,680 ",-,"5,819,326 ","5,723,357 ",-,"6,473,876 ","5,796,077 ",-
,운수업,"3,406,520 ","3,807,378 ",-,"3,942,608 ","4,376,823 ",-,"3,724,154 ","4,062,028 ",-,"4,457,803 ","4,625,556 ",-,"5,148,801 ","4,900,653 ",-,"4,877,768 ","4,877,768 ",-,"4,624,621 ","5,059,750 ",-,"5,349,769 ","5,358,956 ",-,"6,048,343 ","5,427,392 ",-
,숙박및음식점업,"1,011,939 ","1,059,718 ",-,"1,013,083 ","1,026,875 ",-,"1,379,556 ","1,418,606 ",-,"1,340,021 ","1,372,172 ",-,"1,270,785 ","1,299,946 ",-,"1,264,745 ","1,264,745 ",-,"1,351,369 ","1,307,628 ",-,"1,438,967 ","1,354,533 ",-,"1,538,294 ","1,388,367 ",-
,정보및통신업,"925,001 ","793,129 ",-,"1,164,539 ","986,409 ",-,"1,242,903 ","1,101,182 ",-,"1,311,013 ","1,195,921 ",-,"1,297,464 ","1,286,352 ",-,"1,329,743 ","1,329,743 ",-,"1,300,700 ","1,318,508 ",-,"1,298,078 ","1,366,215 ",-,"1,242,082 ","1,380,558 ",-
,금융및보험업,"1,926,963 ","2,383,247 ",-,"2,189,700 ","2,441,421 ",-,"2,861,127 ","3,000,892 ",-,"3,099,222 ","3,131,783 ",-,"2,993,758 ","3,136,484 ",-,"3,224,774 ","3,224,774 ",-,"3,100,323 ","3,130,628 ",-,"3,436,097 ","3,499,341 ",-,"3,678,602 ","3,666,936 ",-
,부동산업및임대업,"3,393,999 ","3,588,745 ",-,"3,472,752 ","3,697,119 ",-,"3,677,606 ","3,824,887 ",-,"3,838,679 ","3,905,955 ",-,"3,899,506 ","3,908,288 ",-,"3,974,633 ","3,974,633 ",-,"4,099,991 ","4,086,983 ",-,"4,231,811 ","4,090,447 ",-,"4,226,468 ","4,051,601 ",-
,사업서비스업,"1,040,946 ","1,384,369 ",-,"1,097,083 ","1,388,420 ",-,"1,083,902 ","1,321,154 ",-,"1,393,204 ","1,561,299 ",-,"1,579,943 ","1,697,480 ",-,"1,862,021 ","1,862,021 ",-,"2,010,406 ","1,918,643 ",-,"2,204,134 ","2,013,346 ",-,"2,382,723 ","2,021,860 ",-
,"공공행정,국방및사회보장행정","1,541,395 ","2,134,995 ",-,"1,642,835 ","2,091,080 ",-,"1,815,677 ","2,124,961 ",-,"1,974,241 ","2,173,548 ",-,"2,168,057 ","2,246,500 ",-,"2,327,353 ","2,327,353 ",-,"2,462,810 ","2,389,411 ",-,"2,602,395 ","2,438,418 ",-,"2,727,655 ","2,456,648 ",-
,교육서비스업,"1,878,298 ","2,519,030 ",-,"2,170,263 ","2,710,204 ",-,"2,445,896 ","2,883,368 ",-,"2,772,536 ","3,074,371 ",-,"3,009,151 ","3,173,209 ",-,"3,281,967 ","3,281,967 ",-,"3,498,007 ","3,357,712 ",-,"3,792,067 ","3,452,944 ",-,"4,015,082 ","3,485,305 ",-
,보건업및사회복지서비스업,"1,049,418 ","1,639,002 ",-,"1,437,558 ","1,592,122 ",-,"1,398,732 ","1,576,002 ",-,"1,556,871 ","1,690,815 ",-,"1,663,658 ","1,737,804 ",-,"1,865,833 ","1,865,833 ",-,"2,081,783 ","1,985,044 ",-,"2,349,996 ","2,166,622 ",-,"2,500,736 ","2,266,360 ",-
,"예술,스포츠및여가관련서비스업","236,353 ","285,332 ",-,"308,899 ","359,054 ",-,"423,837 ","481,328 ",-,"436,514 ","466,105 ",-,"420,400 ","428,040 ",-,"461,087 ","461,087 ",-,"492,422 ","493,101 ",-,"566,598 ","554,174 ",-,"585,108 ","564,523 ",-
,기타서비스업,"810,731 ","967,937 ",-,"887,761 ","1,004,535 ",-,"1,001,525 ","1,115,611 ",-,"1,078,313 ","1,169,335 ",-,"1,075,181 ","1,063,066 ",-,"1,166,723 ","1,166,723 ",-,"1,246,872 ","1,218,187 ",-,"1,294,638 ","1,228,784 ",-,"1,402,626 ","1,273,716 ",-
대구광역시,지역내총생산(시장가격),"21,859,625 ","25,961,651 ",89.0 ,"23,004,034 ","26,108,310 ",89.9 ,"24,915,438 ","27,258,512 ",93.9 ,"26,123,087 ","27,885,442 ",96.3 ,"27,715,178 ","28,717,370 ",99.4 ,"28,756,230 ","28,756,230 ",100.0 ,"30,243,671 ","29,883,464 ",103.9 ,"32,260,900 ","31,244,281 ",108.6 ,"32,714,330 ","31,665,828 ",110.2 
,순생산물세,"1,811,793 ","2,021,528 ",-,"1,919,263 ","1,999,895 ",-,"2,384,187 ","2,443,249 ",-,"2,517,082 ","2,553,014 ",-,"3,217,582 ","3,244,904 ",-,"2,451,570 ","2,451,570 ",-,"2,613,149 ","2,580,846 ",-,"2,685,502 ","2,679,763 ",-,"2,747,686 ","2,767,550 ",-
,총부가가치(기초가격),"20,047,832 ","23,940,123 ",-,"21,084,771 ","24,108,415 ",-,"22,531,251 ","24,815,263 ",-,"23,606,005 ","25,332,428 ",-,"24,497,596 ","25,472,466 ",-,"26,304,660 ","26,304,660 ",-,"27,630,522 ","27,302,618 ",-,"29,575,398 ","28,564,518 ",-,"29,966,644 ","28,898,278 ",-
,농림어업,"163,602 ","158,093 ",-,"175,070 ","164,975 ",-,"172,031 ","151,632 ",-,"140,721 ","118,502 ",-,"142,130 ","133,117 ",-,"148,740 ","148,740 ",-,"165,540 ","164,300 ",-,"161,420 ","163,465 ",-,"139,499 ","163,406 ",-
,광업,"5,947 ","6,401 ",-,"9,140 ","10,175 ",-,"14,216 ","12,286 ",-,"11,261 ","12,815 ",-,"10,193 ","14,030 ",-,"13,651 ","13,651 ",-,"11,874 ","13,685 ",-,"12,017 ","12,475 ",-,"10,271 ","10,003 ",-
,제조업,"4,853,168 ","5,827,823 ",-,"4,494,431 ","5,412,513 ",-,"4,718,170 ","5,470,060 ",-,"4,506,098 ","5,473,124 ",-,"4,997,554 ","5,559,184 ",-,"5,458,275 ","5,458,275 ",-,"5,632,799 ","5,671,532 ",-,"5,915,338 ","5,904,256 ",-,"5,710,958 ","6,019,030 ",-
,　기초소재형,"2,437,802 ","2,700,767 ",-,"2,212,758 ","2,380,417 ",-,"2,240,691 ","2,325,184 ",-,"1,952,677 ","2,141,452 ",-,"1,935,727 ","1,993,285 ",-,"1,887,657 ","1,887,657 ",-,"1,813,319 ","1,939,131 ",-,"1,887,715 ","1,985,669 ",-,"1,915,591 ","2,219,575 ",-
,　가공조립형,"2,016,162 ","2,653,611 ",-,"1,881,678 ","2,557,515 ",-,"2,044,214 ","2,672,622 ",-,"2,135,463 ","2,874,229 ",-,"2,605,023 ","3,082,873 ",-,"3,055,861 ","3,055,861 ",-,"3,282,728 ","3,247,227 ",-,"3,479,291 ","3,467,220 ",-,"3,276,613 ","3,337,290 ",-
,　생활관련형,"399,204 ","473,445 ",-,"399,995 ","474,581 ",-,"433,265 ","472,254 ",-,"417,958 ","457,443 ",-,"456,804 ","483,026 ",-,"514,757 ","514,757 ",-,"536,752 ","485,174 ",-,"548,332 ","451,367 ",-,"518,754 ","462,165 ",-
,"전기,가스,증기및수도사업","335,083 ","384,990 ",-,"404,894 ","430,595 ",-,"397,698 ","397,319 ",-,"368,536 ","356,238 ",-,"363,552 ","361,710 ",-,"356,418 ","356,418 ",-,"363,787 ","353,206 ",-,"354,833 ","338,432 ",-,"308,493 ","355,816 ",-
,건설업,"1,512,491 ","1,910,779 ",-,"1,560,391 ","1,912,322 ",-,"1,798,067 ","2,071,799 ",-,"1,959,820 ","2,067,085 ",-,"1,797,313 ","1,831,707 ",-,"1,951,442 ","1,951,442 ",-,"2,167,260 ","2,135,530 ",-,"2,505,278 ","2,396,719 ",-,"2,414,966 ","2,263,954 ",-
,도매및소매업,"2,904,358 ","3,325,652 ",-,"2,848,045 ","3,195,835 ",-,"2,896,055 ","3,245,610 ",-,"3,046,093 ","3,232,273 ",-,"3,179,789 ","3,216,008 ",-,"3,361,890 ","3,361,890 ",-,"3,488,736 ","3,477,504 ",-,"3,693,297 ","3,632,046 ",-,"3,778,786 ","3,675,362 ",-
,운수업,"1,058,650 ","1,186,172 ",-,"1,215,838 ","1,336,018 ",-,"1,090,217 ","1,111,681 ",-,"1,063,352 ","1,066,997 ",-,"1,058,009 ","1,064,516 ",-,"1,116,551 ","1,116,551 ",-,"1,216,876 ","1,199,938 ",-,"1,330,194 ","1,253,300 ",-,"1,332,646 ","1,331,066 ",-
,숙박및음식점업,"529,784 ","548,097 ",-,"579,894 ","604,972 ",-,"588,628 ","599,456 ",-,"666,008 ","657,223 ",-,"671,270 ","689,460 ",-,"684,261 ","684,261 ",-,"725,273 ","701,550 ",-,"776,571 ","730,293 ",-,"808,975 ","745,750 ",-
,정보및통신업,"606,678 ","526,116 ",-,"773,575 ","656,933 ",-,"871,671 ","772,232 ",-,"912,125 ","831,908 ",-,"890,311 ","884,521 ",-,"924,314 ","924,314 ",-,"911,001 ","922,769 ",-,"915,718 ","960,510 ",-,"817,064 ","899,953 ",-
,금융및보험업,"1,191,472 ","1,465,730 ",-,"1,371,379 ","1,509,499 ",-,"1,783,875 ","1,857,684 ",-,"1,906,739 ","1,938,105 ",-,"1,794,452 ","1,885,638 ",-,"1,917,006 ","1,917,006 ",-,"1,923,772 ","1,956,457 ",-,"2,115,740 ","2,188,969 ",-,"2,192,076 ","2,199,247 ",-
,부동산업및임대업,"2,415,329 ","2,606,066 ",-,"2,509,115 ","2,689,471 ",-,"2,623,370 ","2,731,057 ",-,"2,734,314 ","2,761,742 ",-,"2,757,538 ","2,749,573 ",-,"2,795,434 ","2,795,434 ",-,"2,905,677 ","2,857,659 ",-,"3,010,098 ","2,845,657 ",-,"3,130,719 ","2,958,494 ",-
,사업서비스업,"544,970 ","699,235 ",-,"656,698 ","800,071 ",-,"613,032 ","720,694 ",-,"815,753 ","880,494 ",-,"896,627 ","933,130 ",-,"1,058,178 ","1,058,178 ",-,"1,117,145 ","1,066,249 ",-,"1,237,021 ","1,132,494 ",-,"1,326,690 ","1,143,371 ",-
,"공공행정,국방및사회보장행정","1,330,391 ","1,841,073 ",-,"1,409,094 ","1,791,817 ",-,"1,597,167 ","1,867,234 ",-,"1,717,923 ","1,891,825 ",-,"1,880,198 ","1,948,672 ",-,"2,089,622 ","2,089,622 ",-,"2,222,424 ","2,155,463 ",-,"2,377,839 ","2,227,398 ",-,"2,474,313 ","2,227,883 ",-
,교육서비스업,"1,236,566 ","1,645,900 ",-,"1,417,184 ","1,763,589 ",-,"1,607,580 ","1,891,605 ",-,"1,857,796 ","2,060,665 ",-,"2,029,990 ","2,132,000 ",-,"2,167,923 ","2,167,923 ",-,"2,359,725 ","2,267,105 ",-,"2,537,679 ","2,316,246 ",-,"2,742,409 ","2,384,370 ",-
,보건업및사회복지서비스업,"653,422 ","992,963 ",-,"806,402 ","898,784 ",-,"827,673 ","933,435 ",-,"906,261 ","985,200 ",-,"972,219 ","1,016,864 ",-,"1,087,218 ","1,087,218 ",-,"1,218,574 ","1,173,027 ",-,"1,338,625 ","1,213,336 ",-,"1,450,506 ","1,278,701 ",-
,"예술,스포츠및여가관련서비스업","172,331 ","186,775 ",-,"227,797 ","234,593 ",-,"264,791 ","270,760 ",-,"262,977 ","253,391 ",-,"319,700 ","318,083 ",-,"364,975 ","364,975 ",-,"368,799 ","370,102 ",-,"401,620 ","392,728 ",-,"424,709 ","410,271 ",-
,기타서비스업,"533,590 ","628,258 ",-,"625,824 ","696,253 ",-,"667,010 ","710,719 ",-,"730,228 ","744,841 ",-,"736,751 ","734,253 ",-,"808,762 ","808,762 ",-,"831,260 ","816,542 ",-,"892,110 ","856,194 ",-,"903,564 ","831,601 ",-
인천광역시,지역내총생산(시장가격),"27,121,780 ","32,787,554 ",78.1 ,"30,408,697 ","33,875,607 ",81.9 ,"35,116,554 ","37,297,854 ",90.7 ,"36,349,194 ","38,030,104 ",92.9 ,"38,841,952 ","39,074,629 ",96.4 ,"40,398,460 ","40,398,460 ",100.0 ,"43,310,972 ","43,126,272 ",106.8 ,"47,779,931 ","46,309,856 ",114.7 ,"47,827,269 ","47,087,213 ",116.7 
,순생산물세,"3,176,316 ","3,639,346 ",-,"3,470,178 ","3,571,488 ",-,"4,099,067 ","4,206,446 ",-,"3,966,658 ","3,961,196 ",-,"4,039,340 ","3,907,185 ",-,"3,890,442 ","3,890,442 ",-,"4,311,443 ","4,257,664 ",-,"4,737,480 ","4,608,891 ",-,"5,470,042 ","5,264,427 ",-
,총부가가치(기초가격),"23,945,464 ","29,148,208 ",-,"26,938,519 ","30,304,119 ",-,"31,017,487 ","33,091,408 ",-,"32,382,536 ","34,068,908 ",-,"34,802,612 ","35,167,444 ",-,"36,508,018 ","36,508,018 ",-,"38,999,529 ","38,868,608 ",-,"43,042,451 ","41,700,965 ",-,"42,357,227 ","41,822,786 ",-
,농림어업,"409,924 ","412,967 ",-,"388,168 ","385,390 ",-,"416,801 ","396,735 ",-,"377,565 ","345,538 ",-,"303,509 ","287,726 ",-,"297,265 ","297,265 ",-,"268,865 ","266,423 ",-,"248,147 ","272,041 ",-,"239,303 ","294,893 ",-
,광업,"43,041 ","69,578 ",-,"30,673 ","68,841 ",-,"47,214 ","69,490 ",-,"51,435 ","78,808 ",-,"16,816 ","16,680 ",-,"17,137 ","17,137 ",-,"14,994 ","16,248 ",-,"22,806 ","23,321 ",-,"39,503 ","34,166 ",-
,제조업,"9,442,798 ","11,872,778 ",-,"9,556,821 ","10,771,038 ",-,"10,092,947 ","10,845,218 ",-,"9,786,054 ","10,949,406 ",-,"10,777,674 ","11,144,037 ",-,"11,186,887 ","11,186,887 ",-,"11,778,070 ","11,959,037 ",-,"12,932,050 ","12,504,615 ",-,"12,608,048 ","12,243,832 ",-
,　기초소재형,"3,273,633 ","3,855,738 ",-,"3,410,636 ","3,661,000 ",-,"3,644,055 ","3,770,642 ",-,"3,440,471 ","3,864,775 ",-,"3,853,610 ","3,823,156 ",-,"3,900,634 ","3,900,634 ",-,"3,852,831 ","4,187,600 ",-,"4,247,162 ","4,273,542 ",-,"4,647,388 ","4,073,842 ",-
,　가공조립형,"4,860,240 ","6,290,929 ",-,"4,737,722 ","5,278,611 ",-,"5,020,780 ","5,286,937 ",-,"5,087,821 ","5,537,641 ",-,"5,702,151 ","5,984,465 ",-,"5,985,410 ","5,985,410 ",-,"6,643,940 ","6,496,172 ",-,"7,366,229 ","6,956,538 ",-,"6,647,417 ","6,850,804 ",-
,　생활관련형,"1,308,925 ","1,726,111 ",-,"1,408,463 ","1,831,427 ",-,"1,428,112 ","1,787,639 ",-,"1,257,762 ","1,546,990 ",-,"1,221,913 ","1,336,416 ",-,"1,300,843 ","1,300,843 ",-,"1,281,299 ","1,275,265 ",-,"1,318,659 ","1,274,535 ",-,"1,313,243 ","1,319,186 ",-
,"전기,가스,증기및수도사업","648,990 ","589,317 ",-,"618,943 ","553,296 ",-,"640,199 ","492,791 ",-,"655,539 ","458,493 ",-,"703,345 ","591,075 ",-,"783,569 ","783,569 ",-,"1,082,528 ","1,126,017 ",-,"1,203,998 ","1,310,422 ",-,"839,197 ","1,772,242 ",-
,건설업,"1,855,187 ","2,343,132 ",-,"1,623,097 ","2,017,473 ",-,"1,919,247 ","2,228,803 ",-,"2,192,856 ","2,314,427 ",-,"2,483,333 ","2,530,799 ",-,"2,938,571 ","2,938,571 ",-,"3,118,189 ","3,072,172 ",-,"3,685,166 ","3,518,826 ",-,"3,641,703 ","3,408,129 ",-
,도매및소매업,"1,776,862 ","2,119,967 ",-,"2,072,274 ","2,378,603 ",-,"2,344,206 ","2,663,733 ",-,"2,438,509 ","2,615,020 ",-,"2,450,295 ","2,486,711 ",-,"2,594,460 ","2,594,460 ",-,"2,718,853 ","2,706,843 ",-,"3,031,275 ","2,978,692 ",-,"3,184,460 ","3,009,411 ",-
,운수업,"1,403,087 ","1,534,523 ",-,"2,673,105 ","2,918,983 ",-,"3,992,002 ","3,883,483 ",-,"4,308,513 ","4,152,507 ",-,"5,110,958 ","4,819,977 ",-,"4,928,392 ","4,928,392 ",-,"5,351,017 ","5,279,413 ",-,"6,132,017 ","5,936,748 ",-,"5,217,047 ","5,630,528 ",-
,숙박및음식점업,"516,135 ","565,396 ",-,"578,278 ","637,504 ",-,"761,056 ","815,320 ",-,"799,509 ","837,003 ",-,"747,674 ","768,556 ",-,"758,948 ","758,948 ",-,"830,019 ","802,407 ",-,"878,424 ","826,093 ",-,"937,190 ","840,090 ",-
,정보및통신업,"658,526 ","543,220 ",-,"1,001,495 ","814,192 ",-,"1,156,034 ","1,013,441 ",-,"1,182,594 ","1,069,741 ",-,"1,139,865 ","1,129,977 ",-,"1,144,956 ","1,144,956 ",-,"1,167,957 ","1,185,078 ",-,"1,187,994 ","1,261,181 ",-,"1,100,366 ","1,253,508 ",-
,금융및보험업,"971,541 ","1,208,090 ",-,"1,178,678 ","1,298,495 ",-,"1,657,862 ","1,727,860 ",-,"1,714,087 ","1,731,319 ",-,"1,639,201 ","1,729,736 ",-,"1,717,090 ","1,717,090 ",-,"1,753,476 ","1,799,422 ",-,"1,949,248 ","2,059,214 ",-,"2,061,781 ","2,073,544 ",-
,부동산업및임대업,"2,099,161 ","2,309,002 ",-,"2,252,359 ","2,422,805 ",-,"2,460,320 ","2,534,658 ",-,"2,591,905 ","2,580,850 ",-,"2,605,166 ","2,577,868 ",-,"2,636,012 ","2,636,012 ",-,"2,780,941 ","2,777,982 ",-,"2,982,129 ","2,846,098 ",-,"3,129,952 ","2,925,177 ",-
,사업서비스업,"385,870 ","510,626 ",-,"457,955 ","569,283 ",-,"513,805 ","612,677 ",-,"626,002 ","683,264 ",-,"694,108 ","711,643 ",-,"808,789 ","808,789 ",-,"878,209 ","840,465 ",-,"936,969 ","861,414 ",-,"1,042,218 ","893,116 ",-
,"공공행정,국방및사회보장행정","1,073,577 ","1,487,009 ",-,"1,210,655 ","1,541,206 ",-,"1,367,816 ","1,601,278 ",-,"1,517,123 ","1,674,561 ",-,"1,672,329 ","1,733,178 ",-,"1,853,850 ","1,853,850 ",-,"1,998,662 ","1,938,378 ",-,"2,123,948 ","1,989,741 ",-,"2,253,431 ","2,028,738 ",-
,교육서비스업,"1,037,549 ","1,399,331 ",-,"1,271,793 ","1,596,492 ",-,"1,402,571 ","1,666,373 ",-,"1,632,475 ","1,824,810 ",-,"1,846,028 ","1,946,947 ",-,"2,053,102 ","2,053,102 ",-,"2,194,276 ","2,111,505 ",-,"2,393,376 ","2,196,207 ",-,"2,580,022 ","2,253,144 ",-
,보건업및사회복지서비스업,"632,490 ","991,719 ",-,"946,320 ","1,046,776 ",-,"1,020,798 ","1,148,150 ",-,"1,116,552 ","1,211,609 ",-,"1,187,655 ","1,239,687 ",-,"1,276,492 ","1,276,492 ",-,"1,423,256 ","1,358,578 ",-,"1,571,113 ","1,406,608 ",-,"1,671,004 ","1,450,790 ",-
,"예술,스포츠및여가관련서비스업","140,257 ","168,556 ",-,"220,269 ","260,357 ",-,"252,675 ","293,431 ",-,"275,625 ","279,469 ",-,"283,637 ","285,729 ",-,"329,533 ","329,533 ",-,"359,519 ","359,243 ",-,"391,393 ","379,792 ",-,"393,968 ","378,835 ",-
,기타서비스업,"850,469 ","1,022,997 ",-,"857,636 ","1,023,385 ",-,"971,934 ","1,097,967 ",-,"1,116,193 ","1,262,083 ",-,"1,141,019 ","1,167,118 ",-,"1,182,965 ","1,182,965 ",-,"1,280,698 ","1,269,397 ",-,"1,372,398 ","1,329,952 ",-,"1,418,034 ","1,332,643 ",-
광주광역시,지역내총생산(시장가격),"13,134,452 ","15,500,928 ",80.4 ,"14,360,078 ","15,933,709 ",83.1 ,"15,742,107 ","17,386,480 ",91.0 ,"16,406,842 ","17,525,334 ",92.5 ,"17,392,018 ","17,787,127 ",93.9 ,"18,896,123 ","18,896,123 ",100.0 ,"20,299,019 ","20,126,899 ",106.5 ,"21,281,252 ","20,830,752 ",110.4 ,"21,745,349 ","20,668,438 ",109.7 
,순생산물세,"1,230,611 ","1,349,101 ",-,"1,336,945 ","1,362,371 ",-,"1,580,685 ","1,610,695 ",-,"1,514,576 ","1,668,345 ",-,"1,544,082 ","1,517,124 ",-,"1,674,294 ","1,674,294 ",-,"1,877,063 ","1,897,793 ",-,"1,898,031 ","1,917,954 ",-,"1,772,788 ","1,780,494 ",-
,총부가가치(기초가격),"11,903,841 ","14,151,827 ",-,"13,023,133 ","14,571,338 ",-,"14,161,422 ","15,775,785 ",-,"14,892,266 ","15,856,989 ",-,"15,847,936 ","16,270,003 ",-,"17,221,829 ","17,221,829 ",-,"18,421,956 ","18,229,106 ",-,"19,383,221 ","18,912,798 ",-,"19,972,561 ","18,887,944 ",-
,농림어업,"294,178 ","277,795 ",-,"324,167 ","278,352 ",-,"234,698 ","223,078 ",-,"256,323 ","215,569 ",-,"245,548 ","212,548 ",-,"183,948 ","183,948 ",-,"186,211 ","189,014 ",-,"186,630 ","188,623 ",-,"179,755 ","186,052 ",-
,광업,"1,201 ","1,510 ",-,"2,060 ","2,129 ",-,"5,065 ","2,056 ",-,"2,864 ","2,220 ",-,832 ,"2,354 ",-,"2,639 ","2,639 ",-,"2,986 ","3,204 ",-,"1,924 ","2,062 ",-,"4,462 ","3,992 ",-
,제조업,"2,650,649 ","3,047,903 ",-,"2,924,715 ","3,151,951 ",-,"2,906,091 ","3,390,716 ",-,"2,826,279 ","3,173,401 ",-,"3,345,555 ","3,484,474 ",-,"4,163,524 ","4,163,524 ",-,"4,555,419 ","4,612,301 ",-,"4,734,977 ","4,922,289 ",-,"4,870,879 ","4,592,154 ",-
,　기초소재형,"580,431 ","568,989 ",-,"650,113 ","585,198 ",-,"712,111 ","596,565 ",-,"609,315 ","585,995 ",-,"683,209 ","613,871 ",-,"793,973 ","793,973 ",-,"717,621 ","831,562 ",-,"823,876 ","911,648 ",-,"903,860 ","849,048 ",-
,　가공조립형,"1,450,992 ","1,844,419 ",-,"1,710,892 ","1,934,703 ",-,"1,601,065 ","2,155,635 ",-,"1,634,165 ","1,977,906 ",-,"2,078,826 ","2,284,817 ",-,"2,820,038 ","2,820,038 ",-,"3,319,068 ","3,252,046 ",-,"3,427,876 ","3,559,998 ",-,"3,494,191 ","3,299,153 ",-
,　생활관련형,"619,226 ","634,495 ",-,"563,710 ","632,050 ",-,"592,915 ","638,516 ",-,"582,799 ","609,500 ",-,"583,520 ","585,786 ",-,"549,513 ","549,513 ",-,"518,730 ","528,693 ",-,"483,225 ","450,643 ",-,"472,828 ","443,953 ",-
,"전기,가스,증기및수도사업","212,539 ","226,725 ",-,"268,300 ","250,477 ",-,"266,115 ","256,681 ",-,"256,481 ","241,912 ",-,"279,113 ","265,437 ",-,"255,523 ","255,523 ",-,"292,349 ","276,708 ",-,"298,518 ","275,597 ",-,"135,278 ","287,061 ",-
,건설업,"958,465 ","1,215,782 ",-,"905,233 ","1,123,389 ",-,"948,710 ","1,100,311 ",-,"1,177,673 ","1,245,102 ",-,"1,281,161 ","1,305,626 ",-,"1,367,271 ","1,367,271 ",-,"1,548,318 ","1,525,767 ",-,"1,538,040 ","1,471,417 ",-,"1,539,272 ","1,444,861 ",-
,도매및소매업,"1,477,406 ","1,765,788 ",-,"1,698,936 ","1,952,560 ",-,"1,837,638 ","2,096,682 ",-,"1,956,690 ","2,113,799 ",-,"2,033,130 ","2,057,143 ",-,"2,144,900 ","2,144,900 ",-,"2,264,671 ","2,256,628 ",-,"2,323,379 ","2,284,590 ",-,"2,395,381 ","2,312,012 ",-
,운수업,"503,568 ","555,617 ",-,"534,948 ","575,981 ",-,"664,933 ","693,971 ",-,"618,126 ","625,573 ",-,"579,527 ","586,477 ",-,"591,449 ","591,449 ",-,"657,577 ","648,219 ",-,"668,372 ","632,070 ",-,"660,586 ","664,083 ",-
,숙박및음식점업,"419,466 ","446,871 ",-,"398,160 ","420,835 ",-,"494,853 ","501,117 ",-,"466,784 ","461,054 ",-,"434,416 ","444,292 ",-,"455,257 ","455,257 ",-,"486,993 ","471,058 ",-,"519,923 ","488,936 ",-,"538,411 ","507,112 ",-
,정보및통신업,"371,292 ","319,803 ",-,"414,285 ","358,066 ",-,"468,834 ","421,554 ",-,"510,887 ","473,152 ",-,"497,967 ","497,017 ",-,"484,848 ","484,848 ",-,"496,278 ","501,374 ",-,"497,381 ","519,412 ",-,"447,998 ","496,518 ",-
,금융및보험업,"690,301 ","836,791 ",-,"815,375 ","908,709 ",-,"1,083,872 ","1,129,755 ",-,"1,130,276 ","1,156,714 ",-,"1,103,127 ","1,155,140 ",-,"1,137,713 ","1,137,713 ",-,"1,126,568 ","1,142,230 ",-,"1,242,061 ","1,276,609 ",-,"1,323,546 ","1,331,229 ",-
